gene name,chromosome,start,end
AC079380.1,4,133871246,134010690
PLA2G4E,15,41981582,42051190
PABPC4L,4,134196333,134201748
INO80B,2,74455023,74457960
CRTAM,11,122838500,122872639
CEPT1,1,111139627,111185102
PES1P1,4,134327063,134328798
ADNP,20,50888916,50931421
AC109830.1,4,134255173,134327473
AC105052.4,7,102579104,102679295
AP002001.2,11,106310045,106311791
AC135279.1,12,64442510,64443330
ANKRD20A7P,9,42852675,42894751
XPOT,12,64404350,64451127
AL139147.1,1,66665864,66677027
ZNF563,19,12317477,12333720
EEF1E1-BLOC1S5,6,8015726,8102530
SGIP1,1,66533383,66748299
MIR600HG,9,123109494,123115477
EDC3,15,74630558,74696292
TXNDC5,6,7881517,7910814
IGLCOR22-1,22,32199919,32200234
MZT2B,2,130181737,130190729
RFPL2,22,32190435,32203477
STRBP,9,123109500,123268576
UBASH3B,11,122655675,122814473
LINC02462,4,134423867,134457852
RPL12P45,1,35053468,35059271
AC093722.1,4,134759399,134817289
AC104619.2,4,134932889,134934131
AC104619.4,4,134944275,134944523
AC104619.1,4,134952259,134952889
MRPL30P1,6,57029521,57029988
AC104619.3,4,135045464,135046850
NUTM2F,9,94318196,94328644
AC107463.1,4,135067233,135097658
KIAA1586,6,57046532,57055239
PPIAP3,20,37530039,37530543
LINC02485,4,135112905,135123779
AC113554.1,17,63484823,63521848
AC108449.1,8,29110573,29140729
AC120498.3,16,1156976,1157974
AC108449.3,8,29067279,29068454
AC090425.2,3,179583262,179583762
APOBEC2,6,41053304,41064511
TPSG1,16,1221651,1225257
HMGB1P23,8,29218905,29219472
MRPL47,3,179588285,179604654
KIF13B,8,29067279,29263124
INO80B-WBP1,2,74455088,74460884
ACE3P,17,63507056,63519806
SPINK7,5,148312419,148315922
TSPO2,6,41042554,41044337
AC073311.1,7,123069249,123103589
EFCAB14P1,1,35122022,35122484
AC120498.6,16,1206560,1207124
AL590434.1,1,35141515,35146435
AL691447.3,9,94347234,94347563
FOXK1,7,4682309,4771443
TPSB2,16,1227272,1230184
SMPD4,2,130151392,130182750
AC010998.2,10,120879256,120880667
AL691447.1,9,94338347,94338733
AP002762.1,11,122751147,122851617
AL691447.2,9,94332476,94360948
SLC38A5,23,48458537,48470256
RPSAP9,9,76398699,76399586
SPINK13,5,148268180,148286254
BLOC1S5,6,8013567,8064414
KRT18P54,4,135371177,135371924
DCTN4,5,150708440,150759109
TARS2P1,4,135565117,135567157
AC091948.2,5,148362777,148372152
ADNP-AS1,20,50930984,50945134
SPINK9,5,148321203,148339849
RWDD4,4,183639635,183659225
TRPC7-AS2,5,136303757,136316100
PSMD10P1,20,50913731,50914411
AC079809.1,7,153144313,153144588
AC073236.1,7,153395484,153396921
AC003992.1,7,114560961,114561517
LINC01287,7,153355365,153413981
AC104581.2,17,7925931,7930622
PGBD4P3,5,148307298,148308258
AC091948.1,5,148268307,148383783
TRAPPC1,17,7930345,7932123
AC022137.1,19,53495887,53496037
AL096800.1,6,7938430,7939322
AC063980.1,5,136376348,136397042
HSPD1P18,5,136381268,136381511
PIP5K1P1,6,7986537,7988192
GSTA7P,6,52739590,52744656
ZNF813,19,53467735,53496255
BLOC1S5-TXNDC5,6,7881522,8064364
PAXBP1P1,7,153449429,153449875
AC010168.2,12,14762504,14767931
LINC01441,20,55420336,55427197
AL355816.1,1,111181374,111181491
LINC01440,20,55408898,55482777
DRAM2,1,111117333,111140216
HIST4H4,12,14767999,14771131
AC209005.1,4,8745397,8746033
TPM3P6,19,53479350,53480091
PRUNE2,9,76611376,76906087
AC100835.1,15,74613194,74615596
AL132712.1,14,103854366,103880111
AL132712.2,14,103875055,103877478
LINC00637,14,103847721,103858049
AL391497.1,1,89939601,89940147
SNURFL,23,139362040,139362382
AC011487.1,19,53503392,53512687
EEF1E1,6,8073360,8102578
CEP104,1,3812081,3857214
TKFC,11,61333210,61353295
AC011487.4,19,53512092,53512616
GEMIN8P4,1,89993593,89994321
AC116612.1,4,8858715,8860827
AC107398.1,4,47490967,47491471
AC008731.1,16,24803451,24819739
ATP10D,4,47485288,47593486
ZNF326,1,89995112,90035531
METTL22,16,8621683,8649654
TNRC6A,16,24610209,24827632
GTF3C4,9,132670035,132694955
OSBPL5,11,3087116,3166739
AC084757.1,15,48725338,48725827
AL590410.1,23,55520382,55520714
ACSS2,20,34872146,34927962
AL627224.1,23,55599663,55600106
DDX31,9,132592997,132670401
COX6B1P1,7,149053961,149054173
MTCO1P23,10,69591406,69592931
RPL35AP12,4,163382179,163382516
ELOVL2,6,10980759,11044314
AC113208.2,15,75226401,75234834
TKTL2,4,163471093,163473746
OR5AU1,14,21148370,21159060
AC131011.1,23,23772992,23782956
AC084198.1,3,101599243,101599644
AC244197.1,23,149649174,149650124
AC068338.1,15,75249232,75249407
RBM20,10,110644397,110839469
MAPK6P5,8,109470131,109471117
ELOVL2-AS1,6,11043524,11078226
PKHD1L1,8,109362477,109530330
ZNF385D,3,21412222,22373321
ZNF786,7,149069643,149090782
BACE1,11,117285207,117316259
AL121955.1,6,11015586,11015888
CR848007.1,9,42901238,42920095
AC244517.5,5,141046260,141096402
SMARCE1P3,14,21162513,21163743
C10orf55,10,73909969,73922777
AC135279.3,12,64451591,64452901
AL157687.1,14,21184341,21184959
PCDHB2,5,141094578,141098703
TBK1,12,64451880,64502108
PHYHIP,8,22219704,22232341
NABP2,12,56222015,56229854
LINC00641,14,21200079,21206900
AL160413.1,20,55504906,55505215
CBLN4,20,55997440,56005472
ZNF425,7,149102784,149126346
RSL24D1P11,18,57838476,57838966
LINC01897,18,57961231,57964434
GTF2H2C,5,69560208,69594723
LINC01746,20,37571103,37583935
PCDHB1,5,141051135,141059344
ACSM2B,16,20536226,20576427
HMGN1P30,18,58018794,58019061
ZNF385D-AS2,3,21942566,21979828
GLRXP1,20,37602852,37603185
ZNF385D-AS1,3,21542816,21579959
LINC01877,2,199608068,199659132
AC244517.9,5,141078076,141084481
AL139824.2,20,56267872,56269231
AL731547.1,10,21217891,21218279
AL590664.1,9,76419934,76420631
SPINK8,3,48306842,48328341
AL139824.1,20,56295967,56299160
PCA3,9,76691980,76863307
SLC5A4-AS1,22,32205115,32269666
AC107398.2,4,47556731,47560259
ZNF398,7,149126416,149182802
CPSF1P1,22,32269381,32273110
RPS23P8,23,70962964,70963293
LINC01639,22,43400331,43409681
SEPHS1P6,2,199659551,199660729
AC004832.6,22,30435544,30436247
NUTF2P7,23,71016531,71016905
AC004832.2,22,30439837,30440318
AC078909.2,15,37109587,37109984
FTCDNL1,2,199760544,199851173
AC087283.1,15,37253879,37254952
AC009153.1,16,74552251,74552746
AC010185.1,12,21759980,21766705
AP000593.4,11,72261731,72290688
AP000593.3,11,72302139,72302965
AC092849.1,7,100436204,100438504
AC120057.3,17,7242200,7243814
ARID3B,15,74541177,74598131
MAST4,5,66596361,67169595
MAST4-IT1,5,66662331,66662988
AC009121.2,16,11341809,11345211
AL022722.2,6,119159297,119159476
AC105760.1,2,237048599,237056167
AL137009.1,6,118934770,119182745
AC006987.2,24,10088026,10089586
AC006987.4,24,10070131,10070409
CTDNEP1,17,7243591,7252491
VN1R6P,19,53315137,53316043
GPR78,4,8558725,8619761
FAM90A28P,19,53299051,53308644
PPP1R14C,6,150143076,150250357
RAD51AP1,12,4538798,4560048
ANKRD20A10P,13,24750657,24752171
AC124242.1,8,18084689,18096394
RGPD2,2,87755955,87825952
TEX46,1,23010834,23015850
CTC1,17,8224821,8248095
SRGAP1,12,63844293,64162221
AC020611.1,12,64032412,64032665
CCDC194,19,17390509,17394158
FAM27B,9,67725690,67725902
COL6A4P1,3,15151833,15205959
AC004986.1,7,122849746,122850352
AC084357.3,12,63682523,63724935
RNF148,7,122701664,122702967
AP003122.2,11,89753982,89754953
TAF11L4,5,17521801,17522397
AL353572.3,9,87956214,87956883
PIGU,20,34560542,34698790
MTND1P21,10,20804293,20804577
TAF11L2,5,17498231,17498827
MBD3L2,19,7049321,7051735
AC026785.2,5,17353910,17354899
AC003991.2,7,88216660,88219226
SUMO2P19,8,102242040,102242619
UBR5-AS1,8,102239394,102253333
NEUROG3,10,69571698,69573238
LINC02473,4,24659856,24671568
AC027097.1,18,57630302,57669296
KRTAP10-1,21,44538981,44540195
PPCDC,15,75023555,75117462
ZNF287,17,16551387,16569206
AC127540.1,17,16557985,16559269
HMGN2P39,13,59010332,59010604
AC104651.1,2,111940302,111941036
ATP6V0E1P2,3,41859350,41859594
ZNF160,19,53066606,53103436
AC005899.2,17,32434939,32435028
MSANTD4,11,105995623,106022403
CLUHP3,16,31700590,31711986
AP000813.1,11,105995185,105999213
LINC02338,13,58165827,58209483
AL136531.2,20,1317571,1393096
KRTAP10-9,21,44627123,44628293
AC007785.3,19,46027654,46030161
AL589993.1,6,118452469,118454992
PGLYRP1,19,46019153,46023065
NOA1,4,56963370,56978823
TTTY17C,24,25183643,25184773
AC010245.1,5,75598482,75599380
SPATA31E1,9,87882826,87888899
KYAT3,1,88935773,88992953
AC021192.1,4,83668510,83731755
SATB2-AS1,2,199457700,199476935
AC092535.3,4,1113639,1132977
CKS1BP2,10,29697935,29698174
TTC36,11,118527472,118531197
RPL9P3,14,35262462,35263036
AL157935.2,9,127867850,127906022
FABP5P3,7,152435695,152443176
AC017000.1,7,4130181,4134837
SEPT7P6,7,152367519,152368661
AC104692.1,7,152367171,152367260
BCL2L12,19,49665142,49673916
AC084752.1,4,162984795,162985416
FLYWCH1,16,2911937,2951208
AC110994.2,3,101457241,101457732
TSPY3,24,9398421,9401223
AC007014.2,16,11056556,11057034
ZNF625-ZNF20,19,12132117,12156731
NEAT1,11,65422774,65445540
ZNF625,19,12142090,12156729
AL049629.1,11,33665220,33696701
AC244636.1,23,48135658,48136159
AC108062.1,4,128292751,128519394
LRRC74A,14,76826372,76870302
GAPDHP22,13,99190579,99190991
AC025125.1,17,3439923,3441844
KRT72,12,52585589,52601538
AP001631.1,21,43159066,43162277
MOB3A,19,2071038,2096673
TMEM80,11,695428,705028
FAM122C,23,134796395,134854835
LINC01529,19,35785697,35797902
PPIAP79,5,84999812,85000315
OR1AC1P,17,3377527,3377602
RPL35AP26,11,126278257,126278577
TCEAL9,23,103356489,103358462
ZNF32-AS1,10,43643872,43645047
KHSRPP1,9,21695176,21696943
EMCN,4,100395341,100880126
SLAIN2,4,48341322,48426212
MIR503HG,23,134543337,134546632
MIPEPP1,7,112735166,112738693
AL031595.1,22,44183031,44187739
AL513318.2,9,87008455,87042126
AL031595.2,22,44210442,44229512
AC020899.1,5,83746388,83746989
GAS1RR,9,86948699,87002033
IP6K1,3,49724294,49786542
AL162426.1,9,127690098,127690840
AC008770.3,19,11939959,11953381
PCDHA7,5,140834248,141012344
AC109462.2,16,55332355,55332967
POLR1E,9,37485935,37503697
LINC00837,10,28789188,28796113
ASXL1,20,32358330,32439319
CPEB1,15,82543201,82648861
AC011997.1,2,197693106,197774823
MARS2,2,197705369,197708387
PCDHA3,5,140801028,141012344
AC111000.6,4,69144734,69147671
AGR2,7,16791811,16833433
IGBP1P1,14,34939324,34940332
MTSS1L,16,70661204,70686066
AC013549.1,11,12921186,12922925
RAVER2,1,64745095,64833232
AC010457.1,5,38460925,38468339
AC116036.2,3,58490830,58491291
AC087341.1,8,131130388,131144881
AL160287.1,10,26577676,26622338
AC091429.1,5,86884231,86884881
AL391097.2,20,53196229,53208705
PRIMA1,14,93718298,93788481
CKLF,16,66552563,66566251
AC079944.1,3,113850237,113850731
AC023908.2,15,39770559,39801333
AL049861.1,1,88313153,88313302
SLC24A2,9,19507452,19786928
AC068724.4,15,43179793,43206481
TMEM62,15,43123279,43185146
AC127496.7,17,81003335,81005132
AC016405.1,8,122807746,122816517
AC026444.1,5,86402465,86402960
AC006974.1,7,148473599,148503458
AL356299.2,20,34281632,34286466
NAV2-AS4,11,19510890,19519896
LINC01444,18,14969001,14970468
NAV2-AS1,11,20119684,20120632
CDK5P1,8,122769274,122770150
AC007207.1,12,4109661,4118132
HOXA10-AS,7,27168619,27171915
SDAD1P2,20,10385779,10387806
EMC4,15,34224999,34230156
AF067845.5,8,1373685,1381394
CXXC1P1,23,47707191,47753456
AL133353.2,10,99651595,99732112
AC017101.1,2,186641339,186695287
AP005329.2,18,3190397,3247277
AC026950.2,8,891251,893112
AC104581.4,17,7858943,7866083
AF067845.1,8,1368642,1369833
AC018685.2,2,2641989,2656630
AC018685.1,2,2729908,2730957
AP000812.3,11,72158822,72159734
RBMY2XP,24,24396604,24403526
AC019193.1,4,183028601,183029720
AL133264.2,6,24742302,24751921
AL162231.1,9,34664163,34666112
AL162231.4,9,34661903,34666029
ATP5PD,17,75038863,75046985
AC111186.1,17,75060491,75060620
SKA2P1,9,122761844,122762233
ATP5MC1P3,3,138889255,138889957
LINC01047,13,89214847,89236890
AC129492.3,17,8150816,8162975
NKX2-3,10,99532933,99536524
RWDD2B,21,29004384,29019378
TRMT6,20,5937235,5950558
AC006207.1,12,3752518,3757842
PPIAP74,3,167065831,167066320
RNASEH2C,11,65714005,65720947
METTL15P3,23,22435598,22436818
RBM24,6,17281346,17293875
TPTE2P6,13,24408157,24597676
DAPK1-IT1,9,87553454,87554459
AC112187.2,5,50603229,50603511
TOP1MT,8,143304384,143359979
AL356218.1,9,33402857,33409948
JAKMIP1,4,6026203,6200591
AC104985.2,18,34225930,34226429
LINC00558,13,53815419,53876119
TEX13D,23,124246249,124336862
ZNF646P1,13,53408882,53409876
AL450423.1,13,53345211,53410880
GOLGA2P2Y,24,24209567,24215581
AC092442.1,4,6064977,6070162
AC023141.1,7,57820032,57820410
OFD1P3Y,24,9030594,9039988
AC023141.8,7,57770966,57771173
AC004908.3,8,237045,237669
RBFOX1,16,5239802,7713338
LRRC38,1,13474977,13514048
AC002074.2,7,94311138,94347063
PRSS21,16,2817180,2826304
AKR1C6P,10,4871901,4891975
AC007967.2,24,8901203,8903276
TMEM240,1,1535174,1540453
AC087481.3,15,30926514,30928407
AL390760.1,9,93147040,93148556
AC009075.1,16,72224565,72225144
LINC02070,3,86481943,86496996
TMEM94,17,75441159,75500090
AC006004.1,7,147080934,147097609
AL512288.1,1,27938875,27960193
RANP2,7,147167344,147167572
BORCS7-ASMT,10,102854272,102901899
AC237221.2,7,57402181,57404717
TTC21A,3,39107704,39138903
AL137003.2,6,16764346,16766883
AC093853.1,4,160521829,160522311
NIPA2P4,8,81617220,81618560
RPL31P60,19,32963499,32963865
AL355578.1,13,87607907,87609234
AL359636.2,9,122471358,122475817
AC104072.1,4,46243548,46244215
OTOA,16,21663971,21761935
AC078795.2,3,169794962,169796213
RPL17P45,18,40143926,40144504
AC021146.9,4,68834213,68834368
GOLGA8UP,15,30791573,30801859
ARHGEF10L,1,17539835,17697874
LARP1B,4,128061268,128222931
STEAP1B,7,22419444,22727613
AL136317.2,9,66014525,66020816
AC079395.1,2,97018343,97018604
AC079395.3,2,97000436,97001593
DSCR9,21,37208503,37221736
AL035460.1,20,2814968,2818066
CNPY4,7,100119613,100125511
AIFM1P1,10,18735745,18738631
IGLC7,22,22922594,22923034
CADM2-AS1,3,85992183,86028007
RPS27AP19,19,7665717,7666476
SCRT2,20,661596,676179
AC147055.3,4,68626847,68628899
HNRNPCL4,1,13164586,13165467
AC245056.1,1,13146981,13147460
PRDX4P1,4,44944015,44944961
GTPBP2,6,43605316,43629162
AC090574.1,8,69938168,69938400
TDP2,6,24649977,24667033
AC079089.2,8,69859264,69860540
CCNHP1,4,181905790,181906467
PCSK7,11,117204337,117232525
AL049765.1,20,52487922,52500591
AC026801.1,5,34860783,34861506
HSPE1-MOB4,2,197500413,197550726
AC007922.2,18,24435364,24439638
TEX19,17,82359247,82363776
AC019080.3,2,177300600,177302006
PCOTH,13,23888889,23897263
AC022239.1,8,11552488,11564694
AC112198.4,5,54878238,54878588
SPATA2,20,49903391,49915508
RPL21P42,3,154023835,154024298
RFX3-AS1,9,3526723,3691814
POM121L4P,22,20689929,20698938
CCDC58P2,10,50962993,50963358
UBE2V1P6,2,169115195,169115680
AC036176.3,18,63485601,63486018
AP001011.1,18,2688564,2833065
AFTPH,2,64524305,64593005
SCRN1,7,29920103,29990289
MTCO1P40,17,53105734,53106358
AC007666.1,22,17580157,17589192
AC009554.1,15,61834682,61935738
AC034114.2,8,80265927,80484316
AC104212.2,8,80265528,80266155
AC104212.1,8,80300869,80301481
AC016694.1,24,22670616,22672859
ATG10-IT1,5,81991995,81992481
MRPL48P1,6,10459906,10460541
AC104574.1,15,61598514,61605241
AC107905.1,15,61239906,61240331
OR51B2,11,5323359,5324297
OR51I2,11,5449323,5456518
AL512604.1,9,37205112,37205368
CU638689.2,21,6712596,6716361
ZCCHC7,9,37120539,37358149
OR52H2P,11,5551662,5552563
CU638689.5,21,6721812,6725209
NUS1P4,13,98610292,98610876
CYCSP35,13,98629686,98629989
FP475955.3,21,6789592,6812297
OR51B6,11,5351508,5352446
CALM2P4,13,98640814,98641239
TICAM1,19,4815932,4831704
OR7E23P,21,32621084,32622083
FP475955.1,21,6858539,6897263
DUTP7,4,51865050,51865535
AC092687.3,2,10767875,10770058
AL161757.3,14,56759379,56765757
SLC22A13,3,38265812,38278757
B3GAT1,11,134378504,134411918
MCPH1-AS1,8,6618475,6708209
AL136038.1,14,63567958,63568308
AC091980.2,5,171305980,171309777
TMEM125,1,43269994,43274002
AL445493.1,1,207150205,207150281
HS1BP3-IT1,2,20590775,20592548
ARPP21-AS1,3,35650197,35651961
IGKV3OR2-5,2,97348899,97349179
AL359915.1,1,119260265,119327303
TBC1D8B,23,106802680,106876145
PGAM4P2,4,115764099,115764819
AC048382.1,15,84611689,84614969
AL161637.1,1,43104086,43104497
DUTP5,6,85426657,85427125
FO393413.1,6,49273600,49273794
AL109941.1,6,84966397,84966625
ATP6V0CP4,1,42952202,42952641
AC092032.1,7,5009164,5009328
LINC01226,1,31506226,31583306
HMGN2P30,7,42113365,42113620
AC006978.1,7,30371508,30372741
MAP3K13,3,185282941,185489097
AP002530.1,6,102078872,102079555
AL357153.1,14,70608798,70641298
AMN,14,102922656,102933596
SUN1,7,816615,896435
AC110285.4,17,81461013,81461937
ANKRD36,2,97113496,97250199
IL20,1,206865354,206869223
CDC42BPB,14,102932379,103057462
AC095057.1,4,40142198,40142365
MAGOHB,12,10604190,10613623
SRD5A3,4,55346109,55373096
FCF1P8,4,55351812,55352408
WDR3,1,117929720,117966542
RPAP2P1,10,86854696,86856236
B4GALT4-AS1,3,119226486,119290666
KRT18P25,4,40020240,40021517
TBX18,6,84687351,84764519
MTATP6P31,6,153666627,153667318
AC009078.3,16,75245994,75250077
AL117351.2,1,93926032,93926188
TUBB4BP3,23,118128748,118129018
AC104667.2,2,237591020,237595981
AL157888.1,10,125162379,125162971
AP005271.1,18,10125340,10144406
AL022238.1,22,40433136,40433641
RPL4P6,22,40586700,40588003
RPL21P126,18,55635833,55636310
RACK1,5,181236909,181248096
BX119904.4,23,116688870,116690185
MTCO3P43,2,120211727,120212862
PM20D1,1,205828022,205850132
MTND5P28,2,120215181,120217279
AP000552.1,22,21300990,21325042
MTND3P10,2,120212935,120213275
MTND4LP14,2,120213344,120213631
ATP2C1,3,130850595,131016712
PCDHGA11,5,141421047,141512979
AL512353.2,1,42886597,42888767
AL669831.1,1,725885,778626
FAM87B,1,817371,819837
NEFHP1,1,116739981,116742609
AP000550.4,22,21193360,21203755
RPL35P9,13,106425773,106426122
AL162388.1,9,29254075,29254426
Z83843.1,23,74209976,74213660
AL139400.1,23,74066083,74066592
AL390778.1,9,135204722,135237597
SIGLEC29P,19,51563797,51564910
POM121L7P,22,21125660,21128063
DSTYK,1,205142505,205211566
TMEM81,1,205083129,205084460
AC008556.1,19,33906352,33908391
AC011298.1,2,240686334,240690414
AL109659.3,1,48262230,48263179
LINC02527,6,111900489,111901851
AC139768.1,12,51201684,51202581
HRAT92,7,520391,525232
AL137129.1,14,61734138,61776260
C9orf135,9,69820793,69906232
ZNF846,19,9751993,9793180
ATRAID,2,27212027,27217178
LINC01908,18,27225742,27247188
DDX50,10,68901278,68946847
RPS20P10,2,71984182,71984434
AC023157.3,12,31729117,31731204
AC091944.1,5,161687347,161689408
AL118556.2,14,50471769,50472592
AC022513.1,12,67753701,67753817
PCDHB7,5,141172619,141176383
AL844170.1,1,84477039,84479157
AC112778.1,23,25194381,25195207
SMC4P1,2,136544712,136545542
PCDHB16,5,141181399,141186399
EQTN,9,27284659,27297139
BPIFB3,20,33055424,33073628
PUDPP3,20,33047517,33048152
SPRY4,5,142310427,142326455
MMP25-AS1,16,3037403,3059370
ZNF415P1,18,9785108,9787805
LINC02450,12,42692216,42717119
BX890604.2,23,3817528,3937855
PRDX2P4,6,100136064,100136663
AC007370.1,4,12947574,12948670
AC005614.2,19,40048757,40090925
CHCHD2P8,13,28107431,28107877
C17orf113,17,42038232,42050614
MRPL42P4,7,47026128,47026570
EPS15P1,7,46781373,46783443
AC096541.1,1,47818066,47820237
LRCH3,3,197791226,197888436
LINC01738,1,47688463,47703383
DDX41,5,177511577,177517469
TMC8,17,78130770,78142968
UBE2V2P2,17,78066258,78066761
RPS4XP17,17,656794,657547
AC015853.1,17,552566,553417
GOLT1A,1,204198160,204214092
AC015853.2,17,503171,511347
HOXB-AS4,17,48628675,48634932
LINC01519,10,85193421,85197958
IGKV1D-22,2,90010741,90011184
GPR62,3,51955314,51957504
AC115284.1,3,51961212,51974031
IGKV2D-26,2,89985922,89986702
IGKV1D-27,2,89968867,89969335
PTGR1,9,111549722,111599893
NHSL2,23,71910818,72161750
AC008443.4,5,181191924,181194429
SOX13,1,204073115,204127743
AC104002.1,15,27418796,27420735
AC104002.3,15,27483035,27541991
BPIFB6,20,33031648,33044047
AL162311.3,14,35819224,35826765
NDFIP1,5,142108505,142154443
MTF2,1,93079235,93139081
AC008627.1,5,148644687,148646390
TEKT1,17,6789133,6831761
FAM53B,10,124619292,124744269
AC008620.1,5,181065086,181065677
AC104237.3,11,7699562,7699988
HRCT1,9,35906192,35907141
NDUFA5P4,9,35874810,35875194
ZC3H11A,1,203795654,203854999
AC114402.2,1,203805621,203806263
FAM69A,1,92832737,92961522
MAML3,4,139716753,140154184
AC007998.4,18,35403996,35406528
BIVM-ERCC5,13,102799110,102875994
IGKV1D-37,2,89884740,89885216
TXNRD2,22,19875517,19941992
AL031284.1,1,25398721,25399198
AC099328.1,3,69535664,69536693
AC104123.1,5,95962001,96631085
AC007216.5,16,11926199,11926307
IGKV2-36,2,89295233,89295455
TPMTP2,3,42145646,42146371
RPL7AP4,14,55543401,55544169
AC091874.2,5,180967848,180968567
CIAPIN1P,18,26599408,26600338
C17orf97,17,410327,431062
LINC00501,3,177294442,177323418
AC141424.1,17,404468,414023
SSU72P8,7,124476371,124476955
AL357373.1,1,58228682,58229003
KRT19P2,12,94834147,94835158
TMPRSS9,19,2360238,2426239
LSM3P2,12,94590821,94591093
NBAT1,6,22134957,22147193
AL445193.2,1,58060139,58080274
KYNUP3,17,19208584,19211359
AC008750.3,19,51340695,51344117
BX324167.2,22,45875932,45879247
SNORD3C,17,19189665,19190245
AC068722.2,15,45702640,45703183
AC025445.1,5,63301523,63302056
SPECC1,17,20009344,20319026
AC008088.1,17,20323058,20323337
AC005730.1,17,20056287,20056630
CCDC144CP,17,20321164,20403557
ATG14,14,55366392,55411858
AC008525.2,5,88692651,88692859
CLDN12,7,90383721,90513402
Z95115.1,22,26512537,26514568
TNPO1P1,10,84390908,84392045
AP003550.1,8,103020187,103021428
AC106871.1,4,144505900,144509001
POM121L6P,6,26896952,26898777
AC063977.4,19,51194118,51195540
AC099336.2,1,202471864,202472117
RRP9,3,51933430,51941941
AL352955.1,14,87251103,87251679
AC104463.2,1,202604268,202605293
AL358292.1,14,86936640,86989125
KRT18P41,5,170140664,170141940
AC087373.1,11,25140533,25141023
AP4B1-AS1,1,113856635,113901237
POLR1D,13,27620742,27744237
AC068473.3,18,79576460,79589010
AC079148.1,2,18547386,18548204
PPP1R11P2,23,57229034,57229415
MTCYBP44,4,81733385,81734207
AC115990.1,11,24701275,24701575
FBXL19-AS1,16,30919319,30923269
PGAP2,11,3797724,3826371
AL035071.1,20,32856621,32858751
IFT22,7,101313367,101321823
WDR59,16,74871367,75000173
AL355483.4,1,53267935,53268601
NCAPG2,7,158631311,158704829
AC006499.8,4,10238213,10238235
PGBD4P5,2,88922328,88922753
LINC02301,14,82642620,82706825
AL355838.1,14,81741002,82030349
PRR13P7,8,91909738,91910167
PPP1R12BP1,24,26277923,26354418
AL590004.2,6,3913922,3914292
KRT18P19,2,189311263,189311967
AC008526.1,5,88602780,88603117
AC005909.1,18,68427030,68436918
AC022968.1,18,68277802,68278243
AL049844.2,6,143858062,143858689
DISP2,15,40358235,40378639
AL513217.1,1,201893842,201899978
UBE2NL,23,143884071,143885255
AP000904.1,11,128096042,128183554
IGKV4-1,2,88885397,88886153
USP9YP20,24,25923388,25929826
OPTN,10,13099449,13138308
LINC02397,12,92466451,92492091
GYG2,23,2828788,2882820
GNRHR2P1,14,60398934,60400013
DELE1,5,141923808,141942047
SERGEF,11,17788048,18013162
DYNLL1P2,14,81412970,81413239
ST13P20,1,81721693,81723068
AC115618.2,23,48579774,48581157
AC115618.1,23,48568014,48574860
ENPP4,6,46129993,46146699
AC131280.1,15,20658900,20664970
LINC02069,3,184756389,184773155
ABCB5,7,20615207,20777038
AC107294.1,3,184742818,184743284
ITGBL1,13,101452593,101720856
TRAF3IP2,6,111556454,111606278
U91328.2,6,25983812,25999167
MRPL35,2,86199355,86213794
AL391117.1,9,22703516,23438700
LINC01239,9,22646200,22824213
AC010969.2,2,9936360,9939590
MTND2P39,23,143434517,143435280
RPL31P45,10,22266991,22267346
EBLN1,10,22208814,22210021
AC087190.3,16,9104848,9113181
AL157831.1,10,22163092,22164306
C16orf72,16,9091648,9121640
DOK6,18,69401055,69849087
SECISBP2,9,89318506,89359662
KCNK17,6,39299001,39314553
RPL23AP17,1,41098638,41099136
AC025518.1,17,8561230,8561576
ANKRD36BP2,2,88765807,88806612
AC011453.1,19,53761961,53764199
AC011453.2,19,53657400,53658462
AC084851.3,11,49067610,49069301
AC009229.1,2,38203363,38239590
ALKBH5,17,18183078,18209954
ADGRL2,1,81306160,81992436
TMEM9,1,201134772,201171574
VSX2,14,74239472,74262738
ASCL5,1,201113953,201127184
RAB9AP2,24,25709908,25713557
AC243547.1,1,145892847,145893483
AP001610.1,21,41441056,41445708
AC025174.1,5,7924292,7925398
KBTBD11-OT1,8,1971397,1976478
AC019257.2,8,1974818,1975314
AC078942.1,7,158537495,158539879
AC008972.1,5,72953635,72954274
SPANXA2-OT1,23,141502849,141649927
SYNPR,3,63228315,63616921
SPANXA2,23,141589435,141590772
OFD1P13Y,24,25675060,25697346
PKD2L1,10,100288154,100330486
AL445686.1,1,24563627,24563974
PDCD6IP,3,33798352,33869707
RNMTL1P2,7,17962079,17963029
AC138057.1,3,59380024,59388704
AC002470.1,22,20981361,20981755
CKS1BP3,5,62512246,62512482
AC114982.2,5,62561859,62562216
SLC25A25,9,128068201,128109245
EIF3L,22,37848868,37889407
AC134312.1,16,88088041,88100985
CDY19P,24,25564122,25566033
AC107021.2,3,146059585,146061679
AC011483.3,19,50962197,50962781
SFMBT2,10,7158624,7411486
LARP7P4,3,145523538,145524415
AL049836.1,14,101628984,101632530
PSMG4,6,3231403,3303373
PHF20L1,8,132775358,132848807
PKMYT1,16,2968024,2980539
EFCAB14-AS1,1,46674036,46692098
PIP4P2,8,90993796,91041064
AC013244.2,12,50806335,50806437
AC010196.1,12,86599578,86838998
ABCG4,11,119149012,119162653
AC099335.1,1,199387141,199388475
GPR137,11,64270062,64289500
PCNAP3,23,46058751,46059528
AL031584.2,23,45913267,45917040
AL392046.1,10,35098006,35127020
